t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-2.8554220317555945e-5,0.000736805740608526,-2.8554220317555945e-5,0.000736805740608526,-2.8554220317555945e-5,0.000736805740608526,2.2999714457796823,1.6690414628495804,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,-2.855422032599364e-5,0.0007368057406074158,-2.855422032599364e-5,0.0007368057406074158,-2.855422032599364e-5,0.0007368057406074158,2.299971445779674,1.6690414628495793,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,-2.855422032554955e-5,0.0007368057406071937,-2.855422032554955e-5,0.0007368057406071937,-2.855422032554955e-5,0.0007368057406071937,2.2999714457796743,1.669041462849579,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.13,-2.8554220323329105e-5,0.0007368057406080819,-2.8554220323329105e-5,0.0007368057406080819,-2.8554220323329105e-5,0.0007368057406080819,2.2999714457796765,1.66904146284958,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.14,-2.855422032510546e-5,0.0007368057406302864,-2.855422032510546e-5,0.0007368057406302864,-2.855422032510546e-5,0.0007368057406302864,2.2999714457796747,1.6690414628496022,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.15,-2.8554220324217283e-5,0.0007368057406076378,-2.8554220324217283e-5,0.0007368057406076378,-2.8554220324217283e-5,0.0007368057406076378,2.2999714457796756,1.6690414628495795,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.16,-2.8554220322440926e-5,0.0007368057406151873,-2.8554220322440926e-5,0.0007368057406151873,-2.8554220322440926e-5,0.0007368057406151873,2.2999714457796774,1.669041462849587,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.17,-2.855422032510546e-5,0.0007368057406076378,-2.855422032510546e-5,0.0007368057406076378,-2.855422032510546e-5,0.0007368057406076378,2.2999714457796747,1.6690414628495795,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.18,-2.8554220323329105e-5,0.0007368057406076378,-2.8554220323329105e-5,0.0007368057406076378,-2.8554220323329105e-5,0.0007368057406076378,2.2999714457796765,1.6690414628495795,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.19,-2.8554220323773194e-5,0.0007368057405923167,-2.8554220323773194e-5,0.0007368057405923167,-2.8554220323773194e-5,0.0007368057405923167,2.299971445779676,1.6690414628495642,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.2,-2.8554220321996837e-5,0.0007368057406298423,-2.8554220321996837e-5,0.0007368057406298423,-2.8554220321996837e-5,0.0007368057406298423,2.299971445779678,1.6690414628496018,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.21,0.35753859729087756,-0.4549165730740785,0.35753859729087756,-0.4549165730740785,0.35753859729087756,-0.4549165730740785,2.6575385972908774,1.2133880840348934,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.22,0.38684193038999926,-0.446991356810716,0.38684193038999926,-0.446991356810716,0.38684193038999926,-0.446991356810716,2.686841930389999,1.221313300298256,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.23,0.4655434544272379,-0.472187724245972,0.4655434544272379,-0.472187724245972,0.4655434544272379,-0.472187724245972,2.7655434544272377,1.196116932863,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.24,0.5496597924380366,-0.48312040443913706,0.5496597924380366,-0.48312040443913706,0.5496597924380366,-0.48312040443913706,2.8496597924380365,1.1851842526698348,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.25,0.5273798165720192,-0.4356707204177994,0.5273798165720192,-0.4356707204177994,0.5273798165720192,-0.4356707204177994,2.827379816572019,1.2326339366911725,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.26,0.5335450995441282,-0.39229701876229717,0.5335450995441282,-0.39229701876229717,0.5335450995441282,-0.39229701876229717,2.833545099544128,1.2760076383466747,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.27,0.5203198063915178,-0.3481489188394813,0.5203198063915178,-0.3481489188394813,0.5203198063915178,-0.3481489188394813,2.8203198063915176,1.3201557382694906,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.28,0.5023076235288593,-0.30570622219409205,0.5023076235288593,-0.30570622219409205,0.5023076235288593,-0.30570622219409205,2.802307623528859,1.3625984349148799,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.29,0.4796205256548438,-0.2658262916573497,0.4796205256548438,-0.2658262916573497,0.4796205256548438,-0.2658262916573497,2.7796205256548436,1.4024783654516222,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.3,0.4540868256017738,-0.22961538437397722,0.4540868256017738,-0.22961538437397722,0.4540868256017738,-0.22961538437397722,2.7540868256017736,1.4386892727349947,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.31,0.06807205605496414,0.4109177187370776,0.06807205605496414,0.4109177187370776,0.06807205605496414,0.4109177187370776,2.368072056054964,2.0792223758460495,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.32,0.23086615683145917,0.3162835343950021,0.23086615683145917,0.3162835343950021,0.23086615683145917,0.3162835343950021,2.530866156831459,1.984588191503974,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.33,0.10036287451440273,0.3030401342606195,0.10036287451440273,0.3030401342606195,0.10036287451440273,0.3030401342606195,2.4003628745144026,1.9713447913695914,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.34,-0.06368898254809485,0.30710766396779854,-0.06368898254809485,0.30710766396779854,-0.06368898254809485,0.30710766396779854,2.236311017451905,1.9754123210767704,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.35,-0.04566603582782136,0.2818472238983576,-0.04566603582782136,0.2818472238983576,-0.04566603582782136,0.2818472238983576,2.2543339641721785,1.9501518810073295,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.36,-0.05341173444457281,0.24479217438956158,-0.05341173444457281,0.24479217438956158,-0.05341173444457281,0.24479217438956158,2.246588265555427,1.9130968314985335,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.37,-0.0451322668952856,0.20947157707230946,-0.0451322668952856,0.20947157707230946,-0.0451322668952856,0.20947157707230946,2.2548677331047142,1.8777762341812814,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.38,-0.028326352205886085,0.17450813004065124,-0.028326352205886085,0.17450813004065124,-0.028326352205886085,0.17450813004065124,2.2716736477941137,1.8428127871496232,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.39,0.0014754682968782795,0.1389353836051057,0.0014754682968782795,0.1389353836051057,0.0014754682968782795,0.1389353836051057,2.301475468296878,1.8072400407140776,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.4,0.03703332556485606,0.10466514820931505,0.03703332556485606,0.10466514820931505,0.03703332556485606,0.10466514820931505,2.337033325564856,1.772969805318287,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.41,0.07807450646123293,0.07247259389228766,0.07807450646123293,0.07247259389228766,0.07807450646123293,0.07247259389228766,2.3780745064612328,1.7407772510012596,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.42,0.12162738773779358,0.04312959431367114,0.12162738773779358,0.04312959431367114,0.12162738773779358,0.04312959431367114,2.4216273877377934,1.711434251422643,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.43,0.16573656849879947,0.01717749937194868,0.16573656849879947,0.01717749937194868,0.16573656849879947,0.01717749937194868,2.4657365684987993,1.6854821564809206,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.44,0.20836941712547752,-0.004938196599795885,0.20836941712547752,-0.004938196599795885,0.20836941712547752,-0.004938196599795885,2.5083694171254773,1.663366460509176,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.45,0.24803803646478295,-0.023016333135484457,0.24803803646478295,-0.023016333135484457,0.24803803646478295,-0.023016333135484457,2.5480380364647828,1.6452883239734875,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.46,0.28350055167127186,-0.03701548387588738,0.28350055167127186,-0.03701548387588738,0.28350055167127186,-0.03701548387588738,2.5835005516712717,1.6312891732330845,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.47,0.31390883734017594,-0.04706187224427705,0.31390883734017594,-0.04706187224427705,0.31390883734017594,-0.04706187224427705,2.6139088373401758,1.6212427848646949,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.48,0.3387424377018742,-0.053414047235765816,0.3387424377018742,-0.053414047235765816,0.3387424377018742,-0.053414047235765816,2.638742437701874,1.614890609873206,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.49,0.35780093926124357,-0.056441329302091336,0.35780093926124357,-0.056441329302091336,0.35780093926124357,-0.056441329302091336,2.6578009392612434,1.6118633278068806,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.5,0.37115694368257124,-0.0565907722600536,0.37115694368257124,-0.0565907722600536,0.37115694368257124,-0.0565907722600536,2.671156943682571,1.6117138848489183,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.51,0.3791180439221753,-0.05435976830427336,0.3791180439221753,-0.05435976830427336,0.3791180439221753,-0.05435976830427336,2.679118043922175,1.6139448888046986,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.52,0.38217996334237947,-0.050268880351512335,0.38217996334237947,-0.050268880351512335,0.38217996334237947,-0.050268880351512335,2.6821799633423793,1.6180357767574596,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.53,0.3809800962319181,-0.04483677574212375,0.3809800962319181,-0.04483677574212375,0.3809800962319181,-0.04483677574212375,2.680980096231918,1.6234678813668482,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.54,0.37625456116911415,-0.038561813775239484,0.37625456116911415,-0.038561813775239484,0.37625456116911415,-0.038561813775239484,2.676254561169114,1.6297428433337324,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.55,0.3687937900533589,-0.03190305334729837,0.3687937900533589,-0.03190305334729837,0.3687937900533589,-0.03190305334729837,2.6687937900533587,1.6364016037616735,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.56,0.359405401577765,-0.0252687376315206,0.359405401577765,-0.0252687376315206,0.359405401577765,-0.0252687376315206,2.659405401577765,1.6430359194774513,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.57,0.3488797232102203,-0.019007224305472414,0.3488797232102203,-0.019007224305472414,0.3488797232102203,-0.019007224305472414,2.64887972321022,1.6492974328034995,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.58,0.3379583609208705,-0.013400152620577366,0.3379583609208705,-0.013400152620577366,0.3379583609208705,-0.013400152620577366,2.6379583609208703,1.6549045044883945,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.59,0.32730921928261303,-0.0086603228269988,0.32730921928261303,-0.0086603228269988,0.32730921928261303,-0.0086603228269988,2.627309219282613,1.659644334281973,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.6,0.3175073586703365,-0.004932076719180278,0.3175073586703365,-0.004932076719180278,0.3175073586703365,-0.004932076719180278,2.6175073586703363,1.6633725803897916,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.61,0.30902132588589337,-0.0022938453207179688,0.30902132588589337,-0.0022938453207179688,0.30902132588589337,-0.0022938453207179688,2.609021325885893,1.666010811788254,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.62,0.30220369219249976,-0.0007629779076896437,0.30220369219249976,-0.0007629779076896437,0.30220369219249976,-0.0007629779076896437,2.6022036921924996,1.6675416792012823,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.63,0.29728965274413044,-0.00030297506411458563,0.29728965274413044,-0.00030297506411458563,0.29728965274413044,-0.00030297506411458563,2.5972896527441303,1.6680016820448573,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.64,0.29439925576413595,-0.0008312166116370978,0.29439925576413595,-0.0008312166116370978,0.29439925576413595,-0.0008312166116370978,2.5943992557641358,1.6674734404973348,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.65,0.29354507920997097,-0.0022287343323461606,0.29354507920997097,-0.0022287343323461606,0.29354507920997097,-0.0022287343323461606,2.593545079209971,1.6660759227766258,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.66,0.29464397558651534,-0.004349230621099931,0.29464397558651534,-0.004349230621099931,0.29464397558651534,-0.004349230621099931,2.594643975586515,1.663955426487872,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.67,0.29753158697683,-0.007029296127929241,0.29753158697683,-0.007029296127929241,0.29753158697683,-0.007029296127929241,2.59753158697683,1.6612753609810427,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.68,0.30197894123856805,-0.010097599281453817,0.30197894123856805,-0.010097599281453817,0.30197894123856805,-0.010097599281453817,2.601978941238568,1.658207057827518,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.69,0.3077109538286815,-0.013383967814816211,0.3077109538286815,-0.013383967814816211,0.3077109538286815,-0.013383967814816211,2.6077109538286813,1.6549206892941557,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.7,0.31442309941710755,-0.016726382434898657,0.31442309941710755,-0.016726382434898657,0.31442309941710755,-0.016726382434898657,2.6144230994171074,1.6515782746740733,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.71,0.3217999430758298,-0.019978054249458976,0.3217999430758298,-0.019978054249458976,0.3217999430758298,-0.019978054249458976,2.6217999430758296,1.648326602859513,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.72,0.32952919802124114,-0.023011866748785303,0.32952919802124114,-0.023011866748785303,0.32952919802124114,-0.023011866748785303,2.629529198021241,1.6452927903601866,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.73,0.3373164303245253,-0.025724032718459577,0.3373164303245253,-0.025724032718459577,0.3373164303245253,-0.025724032718459577,2.637316430324525,1.6425806243905123,2.3,1.668304657108972,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
