t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,7.663081096165314e-5,-0.0021873162191621276,7.663081096165314e-5,-0.0021873162191621276,7.663081096165314e-5,-0.0021873162191621276,5.080076630810962,1.6651399940121956,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.25,-1.133144981794734,-0.944222815888904,-1.133144981794734,-0.944222815888904,-1.133144981794734,-0.944222815888904,3.946855018205266,0.7231044943424537,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.26,-1.1125212190762257,-0.9384659234329331,-1.1125212190762257,-0.9384659234329331,-1.1125212190762257,-0.9384659234329331,3.9674787809237744,0.7288613867984246,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.27,-1.0937433910054062,-0.9519587698122753,-1.0937433910054062,-0.9519587698122753,-1.0937433910054062,-0.9519587698122753,3.986256608994594,0.7153685404190824,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.28,-1.075791463767298,-0.9854819921290554,-1.075791463767298,-0.9854819921290554,-1.075791463767298,-0.9854819921290554,4.004208536232702,0.6818453181023023,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.29,-1.0611417157591871,-1.0344116823354659,-1.0611417157591871,-1.0344116823354659,-1.0611417157591871,-1.0344116823354659,4.018858284240813,0.6329156278958917,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.3,-1.0507391173823528,-1.0951726325690632,-1.0507391173823528,-1.0951726325690632,-1.0507391173823528,-1.0951726325690632,4.029260882617647,0.5721546776622946,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.31,0.8680936804030601,0.016593353730053106,0.8680936804030601,0.016593353730053106,0.8680936804030601,0.016593353730053106,5.94809368040306,1.6839206639614108,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.32,1.3054107286381686,-0.2859755488867426,1.3054107286381686,-0.2859755488867426,1.3054107286381686,-0.2859755488867426,6.385410728638169,1.3813517613446151,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.33,1.5026347812139766,-0.5887330611165462,1.5026347812139766,-0.5887330611165462,1.5026347812139766,-0.5887330611165462,6.582634781213977,1.0785942491148115,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.34,1.5752757815485694,-0.7450980283181482,1.5752757815485694,-0.7450980283181482,1.5752757815485694,-0.7450980283181482,6.6552757815485695,0.9222292819132095,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.35,1.6737808851561402,-0.846917015745026,1.6737808851561402,-0.846917015745026,1.6737808851561402,-0.846917015745026,6.75378088515614,0.8204102944863317,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.36,1.7248852878819845,-0.8817006325768787,1.7248852878819845,-0.8817006325768787,1.7248852878819845,-0.8817006325768787,6.8048852878819845,0.785626677654479,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.37,1.7284814609576857,-0.8518629319826692,1.7284814609576857,-0.8518629319826692,1.7284814609576857,-0.8518629319826692,6.808481460957686,0.8154643782486886,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.38,1.6942559675440183,-0.7763647729940054,1.6942559675440183,-0.7763647729940054,1.6942559675440183,-0.7763647729940054,6.774255967544018,0.8909625372373523,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.39,1.6286811684676872,-0.670644503619142,1.6286811684676872,-0.670644503619142,1.6286811684676872,-0.670644503619142,6.708681168467687,0.9966828066122158,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.4,1.53197064326155,-0.5446427668748965,1.53197064326155,-0.5446427668748965,1.53197064326155,-0.5446427668748965,6.61197064326155,1.1226845433564612,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.41,1.409282155313786,-0.4083808258017916,1.409282155313786,-0.4083808258017916,1.409282155313786,-0.4083808258017916,6.489282155313786,1.2589464844295661,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.42,1.2654713526821828,-0.26980957726807886,1.2654713526821828,-0.26980957726807886,1.2654713526821828,-0.26980957726807886,6.345471352682183,1.3975177329632789,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.43,1.106212749423256,-0.13518186973807467,1.106212749423256,-0.13518186973807467,1.106212749423256,-0.13518186973807467,6.186212749423256,1.532145440493283,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.44,0.9371790365595727,-0.00904353512837952,0.9371790365595727,-0.00904353512837952,0.9371790365595727,-0.00904353512837952,6.017179036559573,1.6582837751029782,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.45,0.7641501050053767,0.10536452880544656,0.7641501050053767,0.10536452880544656,0.7641501050053767,0.10536452880544656,5.844150105005377,1.7726918390368043,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.46,0.5925837020904439,0.20591660336270534,0.5925837020904439,0.20591660336270534,0.5925837020904439,0.20591660336270534,5.672583702090444,1.873243913594063,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.47,0.4275101385000246,0.2913489684349817,0.4275101385000246,0.2913489684349817,0.4275101385000246,0.2913489684349817,5.507510138500025,1.9586762786663394,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.48,0.27336004384485246,0.361066386609457,0.27336004384485246,0.361066386609457,0.27336004384485246,0.361066386609457,5.3533600438448525,2.0283936968408147,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.49,0.13386580754855792,0.4149769633892455,0.13386580754855792,0.4149769633892455,0.13386580754855792,0.4149769633892455,5.213865807548558,2.082304273620603,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.5,0.01197234127103819,0.453379161784353,0.01197234127103819,0.453379161784353,0.01197234127103819,0.453379161784353,5.091972341271038,2.1207064720157107,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.51,-0.09021330036370667,0.47688333037525066,-0.09021330036370667,0.47688333037525066,-0.09021330036370667,0.47688333037525066,4.989786699636293,2.1442106406066084,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.52,-0.17144940938620845,0.4863657757620343,-0.17144940938620845,0.4863657757620343,-0.17144940938620845,0.4863657757620343,4.908550590613792,2.153693085993392,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.53,-0.23135601437716957,0.4829357724203258,-0.23135601437716957,0.4829357724203258,-0.23135601437716957,0.4829357724203258,4.8486439856228305,2.1502630826516835,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.54,-0.27036900055306834,0.4679357049815671,-0.27036900055306834,0.4679357049815671,-0.27036900055306834,0.4679357049815671,4.809630999446932,2.135263015212925,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.55,-0.28966759780331763,0.44290079434482976,-0.28966759780331763,0.44290079434482976,-0.28966759780331763,0.44290079434482976,4.790332402196682,2.1102281045761875,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.56,-0.29106950578764046,0.4095409026614196,-0.29106950578764046,0.4095409026614196,-0.29106950578764046,0.4095409026614196,4.78893049421236,2.0768682128927773,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.57,-0.27688165126103925,0.3697092861315747,-0.27688165126103925,0.3697092861315747,-0.27688165126103925,0.3697092861315747,4.803118348738961,2.0370365963629324,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.58,-0.24975888582107153,0.32532032846461845,-0.24975888582107153,0.32532032846461845,-0.24975888582107153,0.32532032846461845,4.8302411141789285,1.9926476386959762,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.59,-0.21251567029583995,0.2782952035035282,-0.21251567029583995,0.2782952035035282,-0.21251567029583995,0.2782952035035282,4.86748432970416,1.945622513734886,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.6,-0.16799105640941647,0.2304804848565254,-0.16799105640941647,0.2304804848565254,-0.16799105640941647,0.2304804848565254,4.912008943590584,1.897807795087883,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.61,-0.1188980460120268,0.1835769648594301,-0.1188980460120268,0.1835769648594301,-0.1188980460120268,0.1835769648594301,4.961101953987973,1.8509042750907878,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.62,-0.06771780900458957,0.139064014496171,-0.06771780900458957,0.139064014496171,-0.06771780900458957,0.139064014496171,5.0122821909954105,1.8063913247275287,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.63,-0.016611148773282736,0.09817233651936519,-0.016611148773282736,0.09817233651936519,-0.016611148773282736,0.09817233651936519,5.063388851226717,1.765499646750723,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.64,0.03261073207179255,0.06183691068769348,0.03261073207179255,0.06183691068769348,0.03261073207179255,0.06183691068769348,5.112610732071793,1.7291642209190512,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.65,0.07851933660672117,0.030696630487960785,0.07851933660672117,0.030696630487960785,0.07851933660672117,0.030696630487960785,5.158519336606721,1.6980239407193185,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.66,0.12004921164221205,0.0050979295766295785,0.12004921164221205,0.0050979295766295785,0.12004921164221205,0.0050979295766295785,5.200049211642212,1.6724252398079873,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.67,0.15648380165024012,-0.014880056692613719,0.15648380165024012,-0.014880056692613719,0.15648380165024012,-0.014880056692613719,5.23648380165024,1.652447253538744,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.68,0.18741818587810766,-0.02939262759663941,0.18741818587810766,-0.02939262759663941,0.18741818587810766,-0.02939262759663941,5.267418185878108,1.6379346826347183,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.69,0.21272054231592463,-0.038786477303447864,0.21272054231592463,-0.038786477303447864,0.21272054231592463,-0.038786477303447864,5.292720542315925,1.6285408329279099,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.7,0.23248829667881576,-0.04355732025118897,0.23248829667881576,-0.04355732025118897,0.23248829667881576,-0.04355732025118897,5.312488296678816,1.6237699899801687,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.71,0.24700585359264338,-0.0443022254139831,0.24700585359264338,-0.0443022254139831,0.24700585359264338,-0.0443022254139831,5.3270058535926434,1.6230250848173746,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.72,0.2567030352833184,-0.04168053930309168,0.2567030352833184,-0.04168053930309168,0.2567030352833184,-0.04168053930309168,5.3367030352833185,1.625646770928266,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.73,0.26211701281633637,-0.0363745780030853,0.26211701281633637,-0.0363745780030853,0.26211701281633637,-0.0363745780030853,5.342117012816336,1.6309527322282724,5.08,1.6673273102313577,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFL,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
