t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,0.000826524610178403,-0.0060064281628360305,0.000826524610178403,-0.0060064281628360305,0.000826524610178403,-0.0060064281628360305,5.600826524610178,0.9131017557795497,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,5.600826524610179,0.9131017557795355,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,0.0008265246101855084,-0.006006428162847577,0.0008265246101855084,-0.006006428162847577,0.0008265246101855084,-0.006006428162847577,5.600826524610185,0.9131017557795381,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.13,0.000826524610178403,-0.006006428162851574,0.000826524610178403,-0.006006428162851574,0.000826524610178403,-0.006006428162851574,5.600826524610178,0.9131017557795341,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.14,0.0008265246101810675,-0.006006428162842692,0.0008265246101810675,-0.006006428162842692,0.0008265246101810675,-0.006006428162842692,5.600826524610181,0.913101755779543,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.15,0.0008265246101828438,-0.006006428162848909,0.0008265246101828438,-0.006006428162848909,0.0008265246101828438,-0.006006428162848909,5.6008265246101825,0.9131017557795368,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.16,0.0008265246101819557,-0.0060064281628406935,0.0008265246101819557,-0.0060064281628406935,0.0008265246101819557,-0.0060064281628406935,5.600826524610182,0.913101755779545,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.17,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,0.0008265246101792911,-0.006006428162850241,5.600826524610179,0.9131017557795355,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.18,0.0008265246101828438,-0.006006428162849575,0.0008265246101828438,-0.006006428162849575,0.0008265246101828438,-0.006006428162849575,5.6008265246101825,0.9131017557795361,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.19,0.0008265246101872847,-0.006006428162846911,0.0008265246101872847,-0.006006428162846911,0.0008265246101872847,-0.006006428162846911,5.600826524610187,0.9131017557795388,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.2,0.0008265246101775148,-0.006006428162859234,0.0008265246101775148,-0.006006428162859234,0.0008265246101775148,-0.006006428162859234,5.600826524610177,0.9131017557795265,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.21,5.108227469883586,11.894840066118627,5.108227469883586,11.894840066118627,5.108227469883586,11.894840066118627,10.708227469883585,12.813948250061014,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.22,1.8810738933677458,7.472129010988314,1.8810738933677458,7.472129010988314,1.8810738933677458,7.472129010988314,7.481073893367745,8.3912371949307,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.23,2.7865309397793094,8.538281577815175,2.7865309397793094,8.538281577815175,2.7865309397793094,8.538281577815175,8.386530939779309,9.457389761757561,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.24,2.2784840068872008,8.209034710372462,2.2784840068872008,8.209034710372462,2.2784840068872008,8.209034710372462,7.8784840068872,9.128142894314848,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.25,2.2899231569984293,8.215872202459074,2.2899231569984293,8.215872202459074,2.2899231569984293,8.215872202459074,7.889923156998429,9.13498038640146,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.26,2.1468183374348255,8.185527443057428,2.1468183374348255,8.185527443057428,2.1468183374348255,8.185527443057428,7.746818337434825,9.104635626999814,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.27,2.043806377642846,8.107374976291412,2.043806377642846,8.107374976291412,2.043806377642846,8.107374976291412,7.6438063776428455,9.026483160233798,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.28,1.940146128034641,8.08798695655934,1.940146128034641,8.08798695655934,1.940146128034641,8.08798695655934,7.540146128034641,9.007095140501725,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.29,1.827976957401055,8.037363231727376,1.827976957401055,8.037363231727376,1.827976957401055,8.037363231727376,7.427976957401055,8.956471415669762,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.3,1.7198479807388631,8.009717641060504,1.7198479807388631,8.009717641060504,1.7198479807388631,8.009717641060504,7.319847980738863,8.92882582500289,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.31,-2.346876859727365,-1.8460449599509317,-2.346876859727365,-1.8460449599509317,-2.346876859727365,-1.8460449599509317,3.253123140272635,-0.9269367760085461,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.32,-0.4654360656718337,0.3277989497359858,-0.4654360656718337,0.3277989497359858,-0.4654360656718337,0.3277989497359858,5.134563934328166,1.2469071336783715,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.33,-1.5865116951523595,-0.9664469634520968,-1.5865116951523595,-0.9664469634520968,-1.5865116951523595,-0.9664469634520968,4.01348830484764,-0.047338779509711104,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.34,-1.0625672949291722,-0.5007031333268739,-1.0625672949291722,-0.5007031333268739,-1.0625672949291722,-0.5007031333268739,4.537432705070827,0.4184050506155118,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.35,-1.3461604520537618,-0.7839685821522854,-1.3461604520537618,-0.7839685821522854,-1.3461604520537618,-0.7839685821522854,4.253839547946238,0.13513960179010032,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.36,-1.279434597119434,-0.7419891179249759,-1.279434597119434,-0.7419891179249759,-1.279434597119434,-0.7419891179249759,4.320565402880566,0.1771190660174098,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.37,-1.3327593439907295,-0.8041937120091905,-1.3327593439907295,-0.8041937120091905,-1.3327593439907295,-0.8041937120091905,4.26724065600927,0.11491447193319515,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.38,-1.2981747092721516,-0.8319448951619135,-1.2981747092721516,-0.8319448951619135,-1.2981747092721516,-0.8319448951619135,4.301825290727848,0.08716328878047219,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.39,-1.2772642347634768,-0.8750685948737653,-1.2772642347634768,-0.8750685948737653,-1.2772642347634768,-0.8750685948737653,4.322735765236523,0.04403958906862038,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.4,-1.2243996008636016,-0.9125233758222664,-1.2243996008636016,-0.9125233758222664,-1.2243996008636016,-0.9125233758222664,4.375600399136398,0.006584808120119301,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.41,-1.1615825190716729,-0.9506192835967595,-1.1615825190716729,-0.9506192835967595,-1.1615825190716729,-0.9506192835967595,4.438417480928327,-0.03151109965437382,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.42,-1.0823676813347776,-0.9871759049392975,-1.0823676813347776,-0.9871759049392975,-1.0823676813347776,-0.9871759049392975,4.517632318665222,-0.06806772099691183,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.43,-0.9923540715871777,-1.021650366992648,-0.9923540715871777,-1.021650366992648,-0.9923540715871777,-1.021650366992648,4.607645928412822,-0.10254218305026219,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.44,-0.8920643178277281,-1.0537809500127517,-0.8920643178277281,-1.0537809500127517,-0.8920643178277281,-1.0537809500127517,4.7079356821722715,-0.13467276607036616,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.45,-0.7841071188187101,-1.083165948639631,-0.7841071188187101,-1.083165948639631,-0.7841071188187101,-1.083165948639631,4.8158928811812896,-0.16405776469724542,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.46,-0.6702062949651824,-1.1097586856837018,-0.6702062949651824,-1.1097586856837018,-0.6702062949651824,-1.1097586856837018,4.929793705034817,-0.19065050174131615,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.47,-0.5523023248864822,-1.1334911404933732,-0.5523023248864822,-1.1334911404933732,-0.5523023248864822,-1.1334911404933732,5.047697675113517,-0.2143829565509876,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.48,-0.43212156859932094,-1.154460273785343,-0.43212156859932094,-1.154460273785343,-0.43212156859932094,-1.154460273785343,5.167878431400679,-0.23535208984295752,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.49,-0.3113044886277514,-1.1727951701666575,-0.3113044886277514,-1.1727951701666575,-0.3113044886277514,-1.1727951701666575,5.288695511372248,-0.2536869862242719,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.5,-0.19133960755356494,-1.18868086684722,-0.19133960755356494,-1.18868086684722,-0.19133960755356494,-1.18868086684722,5.408660392446435,-0.26957268290483416,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.51,-0.0735704850021488,-1.2023237670742448,-0.0735704850021488,-1.2023237670742448,-0.0735704850021488,-1.2023237670742448,5.526429514997851,-0.28321558313185924,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.52,0.04082212532535401,-1.2139441151599317,0.04082212532535401,-1.2139441151599317,0.04082212532535401,-1.2139441151599317,5.640822125325354,-0.29483593121754603,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.53,0.15082361132942967,-1.2237649150024486,0.15082361132942967,-1.2237649150024486,0.15082361132942967,-1.2237649150024486,5.750823611329429,-0.30465673106006297,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.54,0.25558777363704976,-1.2320082030403694,0.25558777363704976,-1.2320082030403694,0.25558777363704976,-1.2320082030403694,5.855587773637049,-0.3129000190979836,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.55,0.35443513796137793,-1.2388904031913266,0.35443513796137793,-1.2388904031913266,0.35443513796137793,-1.2388904031913266,5.954435137961378,-0.3197822192489408,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.56,0.44684615143696504,-1.2446215966696719,0.44684615143696504,-1.2446215966696719,0.44684615143696504,-1.2446215966696719,6.046846151436965,-0.32551341272728607,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.57,0.5324460868364147,-1.2494084975701476,0.5324460868364147,-1.2494084975701476,0.5324460868364147,-1.2494084975701476,6.132446086836414,-0.3303003136277618,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.58,0.6109926783659745,-1.253450592942834,0.6109926783659745,-1.253450592942834,0.6109926783659745,-1.253450592942834,6.210992678365974,-0.3343424090004481,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.59,0.6823526236047304,-1.2569419704159315,0.6823526236047304,-1.2569419704159315,0.6823526236047304,-1.2569419704159315,6.28235262360473,-0.3378337864735459,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.6,0.7464840137959339,-1.2600688269218834,0.7464840137959339,-1.2600688269218834,0.7464840137959339,-1.2600688269218834,6.3464840137959335,-0.3409606429794978,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.61,0.803413976248275,-1.2630065247652191,0.803413976248275,-1.2630065247652191,0.803413976248275,-1.2630065247652191,6.403413976248275,-0.3438983408228333,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.62,0.8532203042647373,-1.2659152067677022,0.8532203042647373,-1.2659152067677022,0.8532203042647373,-1.2659152067677022,6.453220304264737,-0.3468070228253164,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.63,0.8960147043768005,-1.2689373246343272,0.8960147043768005,-1.2689373246343272,0.8960147043768005,-1.2689373246343272,6.4960147043768,-0.3498291406919416,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.64,0.9319316616341045,-1.27219188213027,0.9319316616341045,-1.27219188213027,0.9319316616341045,-1.27219188213027,6.531931661634104,-0.35308369818788443,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.65,0.9611171758473782,-1.2757728534361923,0.9611171758473782,-1.2757728534361923,0.9611171758473782,-1.2757728534361923,6.561117175847378,-0.3566646694938065,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.66,0.983725358198261,-1.2797470103823567,0.983725358198261,-1.2797470103823567,0.983725358198261,-1.2797470103823567,6.583725358198261,-0.36063882643997114,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.67,0.9999142091395861,-1.284153953865279,0.9999142091395861,-1.284153953865279,0.9999142091395861,-1.284153953865279,6.599914209139586,-0.3650457699228933,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.68,1.0098465280049664,-1.2890073664894004,1.0098465280049664,-1.2890073664894004,1.0098465280049664,-1.2890073664894004,6.609846528004966,-0.3698991825470148,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.69,1.0136910970082136,-1.2942975632015732,1.0136910970082136,-1.2942975632015732,1.0136910970082136,-1.2942975632015732,6.613691097008213,-0.3751893792591874,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.7,1.0116262908053315,-1.2999952443028606,1.0116262908053315,-1.2999952443028606,1.0116262908053315,-1.2999952443028606,6.611626290805331,-0.3808870603604748,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.71,1.0038432109637618,-1.306055496439222,1.0038432109637618,-1.306055496439222,1.0038432109637618,-1.306055496439222,6.6038432109637615,-0.3869473124968361,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.72,0.990550315237944,-1.3124221292989442,0.990550315237944,-1.3124221292989442,0.990550315237944,-1.3124221292989442,6.590550315237944,-0.3933139453565584,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.73,0.9719763828108832,-1.3190318113902406,0.9719763828108832,-1.3190318113902406,0.9719763828108832,-1.3190318113902406,6.571976382810883,-0.3999236274478548,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.74,0.948374309891002,-1.3258179169961481,0.948374309891002,-1.3258179169961481,0.948374309891002,-1.3258179169961481,6.548374309891002,-0.40670973305376246,5.6,0.9191081839423857,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,GFM,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
